antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Consequent_Margin_EUR,Expected_Value_Per_1k_EUR
Chips,Wine,0.02,0.49,0.02,1.0,2.0408163265306123,1.0,0.0102,inf,0.5204081632653061,0.04081632653061225,1.0,0.5204081632653061,5.0,5000.0
Beer,Wine,0.03,0.49,0.03,1.0,2.0408163265306123,1.0,0.0153,inf,0.5257731958762887,0.061224489795918366,1.0,0.5306122448979592,5.0,5000.0
Chips,Wine,0.03,0.49,0.03,1.0,2.0408163265306123,1.0,0.0153,inf,0.5257731958762887,0.061224489795918366,1.0,0.5306122448979592,5.0,5000.0
Diapers,Wine,0.04,0.49,0.04,1.0,2.0408163265306123,1.0,0.0204,inf,0.5312500000000001,0.08163265306122448,1.0,0.5408163265306123,5.0,5000.0
Baby Wipes,Wine,0.02,0.49,0.02,1.0,2.0408163265306123,1.0,0.0102,inf,0.5204081632653061,0.04081632653061225,1.0,0.5204081632653061,5.0,5000.0
Cheese,Wine,0.45,0.49,0.43,0.9555555555555555,1.950113378684807,1.0,0.2095,11.474999999999984,0.8858350951374206,0.8431372549019608,0.9128540305010892,0.9165532879818594,5.0,4777.78
Bread,Wine,0.24,0.49,0.22,0.9166666666666667,1.870748299319728,1.0,0.1024,6.120000000000005,0.6124401913875598,0.43137254901960786,0.8366013071895426,0.6828231292517007,5.0,4583.33
Chips,Diapers,0.02,0.37,0.02,1.0,2.7027027027027026,1.0,0.0126,inf,0.6428571428571429,0.05405405405405406,1.0,0.527027027027027,4.5,4500.0
Baby Wipes,Diapers,0.02,0.37,0.02,1.0,2.7027027027027026,1.0,0.0126,inf,0.6428571428571429,0.05405405405405406,1.0,0.527027027027027,4.5,4500.0
Baby Wipes,Diapers,0.04,0.37,0.04,1.0,2.7027027027027026,1.0,0.0252,inf,0.6562500000000001,0.10810810810810811,1.0,0.5540540540540541,4.5,4500.0
Beer,Diapers,0.05,0.37,0.05,1.0,2.7027027027027026,1.0,0.0315,inf,0.6631578947368421,0.13513513513513514,1.0,0.5675675675675675,4.5,4500.0
Baby Wipes,Diapers,0.05,0.37,0.05,1.0,2.7027027027027026,1.0,0.0315,inf,0.6631578947368421,0.13513513513513514,1.0,0.5675675675675675,4.5,4500.0
Beer,Diapers,0.05,0.33,0.05,1.0,3.0303030303030303,1.0,0.0335,inf,0.7052631578947369,0.15151515151515152,1.0,0.5757575757575758,4.5,4500.0
Baby Wipes,Diapers,0.02,0.37,0.02,1.0,2.7027027027027026,1.0,0.0126,inf,0.6428571428571429,0.05405405405405406,1.0,0.527027027027027,4.5,4500.0
Chips,Diapers,0.02,0.33,0.02,1.0,3.0303030303030303,1.0,0.013399999999999999,inf,0.6836734693877551,0.06060606060606061,1.0,0.5303030303030303,4.5,4500.0
Baby Wipes,Diapers,0.02,0.21,0.02,1.0,4.761904761904762,1.0,0.0158,inf,0.806122448979592,0.09523809523809525,1.0,0.5476190476190477,4.5,4500.0
Baby Wipes,Diapers,0.22,0.37,0.21,0.9545454545454545,2.5798525798525795,1.0,0.1286,13.859999999999978,0.7851037851037851,0.5526315789473684,0.9278499278499277,0.7610565110565111,4.5,4295.45
Eggs,Wine,0.07,0.49,0.06,0.857142857142857,1.7492711370262388,1.0,0.025699999999999994,3.5699999999999963,0.46057347670250887,0.12,0.7198879551820725,0.48979591836734687,5.0,4285.71
Baby Wipes,Diapers,0.36,0.37,0.33,0.9166666666666667,2.4774774774774775,1.0,0.19680000000000003,7.560000000000007,0.9318181818181819,0.8250000000000001,0.8677248677248679,0.9042792792792793,4.5,4125.0
Beer,Diapers,0.24,0.37,0.21,0.875,2.364864864864865,1.0,0.1212,5.04,0.7593984962406015,0.5249999999999999,0.8015873015873016,0.7212837837837838,4.5,3937.5
Beer,Diapers,0.24,0.33,0.21,0.875,2.6515151515151514,1.0,0.13079999999999997,5.359999999999999,0.819548872180451,0.5833333333333331,0.8134328358208955,0.7556818181818181,4.5,3937.5
